Objective,Tube_Lens,Spot_Size,Offset_X,Offset_Y
UPlanFl,WFA4100,,,
HC APO L 63x/0.90 W U-V-I,WFA4100,,,
CFI Apo NIR 60X W,WFA4100,,,
N PLAN 100x/0.90,WFA4100,,,
N PLAN 10x/0.25,WFA4100,80,,
N PLAN 10x/0.25_2,WFA4100,,,
EC Epiplan 20x/0.4,WFA4100,,,
EC Epiplan 50x/0.75 HD,WFA4100,,,
LD Plan-NEOFLUAR 63X/0.75 Korr,WFA4100,,,
LD EC Epiplan-NEOFLUAR 100x/0.75 HD DIC,WFA4100,,,
EC Epiplan 10x/0.25 HD,WFA4100,,,
"W ""Plan-Apochromat"" 63x/1.0",WFA4100,,,
"W ""N-Achroplan"" 20x/0.5",WFA4100,,,
"W ""N-Achroplan"" 10x/0.3 M27",WFA4100,,,
